Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Mexico,Tax benefit for gasoline consumption in the southern border,oil and oil products,28/12/2020,28/12/2020,32486271
Mexico,Investment in a photovoltaic power plant in the roof of the Central Market in Mexico City,solar,17/02/2021,01/01/2022,18651215
Mexico,Fiscal Stimulus for PEMEX by the Federal Government,oil and gas,19/02/2021,19/02/2021,3410592945
Mexico,First Sustainable Sovereign Bonds linked to the UN Sustainable Development Goals,non-applicable (non-energy measure),14/09/2020,14/09/2020,916084893
