Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
France,France 2030 &#8211; investments in the energy sector (hydrogen and industry),multiple energy types,12/10/2021,01/01/2022,7990867580
France,New support for airport operators,oil and oil products,09/12/2021,01/01/2022,171232877
France,France 2030 &#8211; investments in the transport sector,multiple energy types,12/10/2021,01/01/2022,4566210046
France,France 2030 &#8211; investments in the energy sector (nuclear),nuclear,12/10/2021,01/01/2022,1141552512
France,Government backed loans to Air France airline company with  climate strings attached,oil and oil products,24/04/2020,07/05/2020,7990867580
