Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Argentina,National Supplier Development Programme: Energy and mining sectors,multiple energy types,02/09/2020,10/09/2020,19847177
Argentina,Public support to private investments in renewable energy and energy efficiency in the agriculture sector,solar,01/07/2020,01/07/2020,496180
