Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
United States,"Grants to transit agencies for use for operating expenses, American Rescue Act",multiple energy types,11/03/2021,11/03/2021,30500000000
United States,DoE Awards $2M to Develop Clean Hydrogen,multiple fossil,15/03/2021,15/03/2021,2000000
United States,DoE Funding to Manufacturing Innovation to Build Clean Resilient Electrical Grid,multiple renewable,17/03/2021,17/03/2021,24500000
United States,Data Science and Computation Tools for Advanced Climate Solutions,multiple energy types,19/03/2021,19/03/2021,34500000
United States,DoE funding for carbon capture and storage technologies through direct air capture,multiple fossil,01/09/2020,01/09/2020,21000000
United States,DoE funding for carbon capture and storage for the power sector,multiple fossil,01/09/2020,01/09/2020,51000000
United States,DoE Plan to Cut Solar Costs by More Than 60% by 2030,solar,25/03/2021,25/03/2021,128000000
United States,DoE Announces Ambitious New 30GW Offshore Wind Deployment Target by 2030,wind,29/03/2021,29/03/2021,8000000
United States,DoE Announces $35 Million for Technologies to Reduce Methane Emissions,multiple fossil,08/04/2021,08/04/2021,35000000
United States,DoE &#8211; SuperTruck 3 &#8211; Funding to Decarbonize Cars and Trucks,multiple energy types,15/04/2021,15/04/2021,162000000
United States,DoE Selects West Virginia University and Sandia National Laboratories to Receive up to $15 Million for Geothermal Energy Research,other renewable,23/04/2021,23/04/2021,15000000
United States,DoE Office of Fossil Energy supports University Turbine System Research (UTSR) to explore hydrogen turbine technology,other energy type,12/05/2021,12/05/2021,6200000
United States,DoE Invests to Dramatically Reduce Carbon Footprint of Biofuel Production,biofuels and waste,15/05/2021,15/05/2021,35000000
United States,DoE Actions to Increase Energy Efficiency for Homes and Buildings and Save Costs for Consumers,energy efficiency,17/05/2021,17/05/2021,30000000
United States,DoE awards 27M$ to Accelerate Ocean and Wave Energy to Market,other renewable,06/07/2021,06/07/2021,27000000
United States,DoE Awards 60M$  to Acclerate Advancements in Zero-Carbon Emission Reductions,other renewable,28/07/2021,28/07/2021,10900000
United States,DoE Awards 60M$ to Accelerate Advancements in Zero-Carbon Emission Reductions,other renewable,28/07/2021,28/07/2021,49300000
United States,DoE Awards $30M to Secure Domestic Supply Chains of Critical Materials,other energy type,02/09/2021,02/09/2021,30000000
United States,DoE Support Jobs and Economic Growth in Coal Power Plant Communities,coal,23/04/2021,23/04/2021,19500000
United States,DoE Funding to Advance Geothermal Energy Technologies,other renewable,30/04/2021,30/04/2021,12000000
United States,Initiative to Accelerate Solar Deployment in Underserved Communities,solar,04/05/2021,04/05/2021,15500000
United States,ARPA-E Funding to Reduce Nuclear Waste from Advanced Nuclear Reactors,nuclear,19/05/2021,19/05/2021,40000000
United States,Infrastructure Investment and Jobs Act,hydro,15/11/2021,15/11/2021,100000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,7500000000
United States,Department of Energy support for Natural Gas Pipeline Retrofitting Projects,gas and gas products,06/08/2020,06/08/2020,33000000
United States,DOE funding for carbon neutral electric aviation,multiple energy types,26/08/2020,26/08/2020,33000000
United States,DOE grant for fusion energy technology development,nuclear,02/09/2020,02/09/2020,29000000
United States,DOE grant for research at Princeton Laboratory Fusion Facility,nuclear,08/09/2020,08/09/2020,17000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,1250000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,5000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,65000000000
United States,Infrastructure Investment and Jobs Act,solar,15/11/2021,15/11/2021,80000000
United States,Infrastructure Investment and Jobs Act,wind,15/11/2021,15/11/2021,100000000
United States,Infrastructure Investment and Jobs Act,other renewable,15/11/2021,15/11/2021,84000000
United States,Infrastructure Investment and Jobs Act,multiple renewable,15/11/2021,15/11/2021,146400000
United States,Infrastructure Investment and Jobs Act,other energy type,15/11/2021,15/11/2021,825668000
United States,Infrastructure Investment and Jobs Act,nuclear,15/11/2021,15/11/2021,3211000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,505000000
United States,Infrastructure Investment and Jobs Act,oil and gas,15/11/2021,15/11/2021,4707000000
United States,Infrastructure Investment and Jobs Act,energy efficiency,15/11/2021,15/11/2021,3500000000
United States,Infrastructure Investment and Jobs Act,multiple renewable,15/11/2021,15/11/2021,500000000
United States,Infrastructure Investment and Jobs Act,energy efficiency,15/11/2021,15/11/2021,225000000
United States,Infrastructure Investment and Jobs Act,energy efficiency,15/11/2021,15/11/2021,40000000
United States,Infrastructure Investment and Jobs Act,energy efficiency,15/11/2021,15/11/2021,250000000
United States,Infrastructure Investment and Jobs Act,multiple renewable,15/11/2021,15/11/2021,500000000
United States,Infrastructure Investment and Jobs Act,hydro,15/11/2021,15/11/2021,10000000
United States,Infrastructure Investment and Jobs Act,hydro,15/11/2021,15/11/2021,200000000
United States,Infrastructure Investment and Jobs Act,nuclear,15/11/2021,15/11/2021,6000000000
United States,Infrastructure Investment and Jobs Act,hydrogen,15/11/2021,15/11/2021,1000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,310140781
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,100000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,750000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,200000000
United States,Infrastructure Investment and Jobs Act,other energy type,15/11/2021,15/11/2021,140000000
United States,"Infrastructure Investment and Jobs Act, United States Geological Survey (USGS) Research for Mineral &#038; Research",other energy type,15/11/2021,15/11/2021,167000000
United States,Infrastructure Investment and Jobs Act,other energy type,15/11/2021,15/11/2021,320000000
United States,Infrastructure Investment and Jobs Act,hydro,15/11/2021,15/11/2021,10000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,500000000
United States,Infrastructure Investment and Jobs Act,other energy type,15/11/2021,15/11/2021,3000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,6000000000
United States,Infrastructure Investment and Jobs Act,multiple energy types,15/11/2021,15/11/2021,5000000000
United States,Piloting Community Thermal Systems to Reduce Buildings&#8217; Greenhouse Gas Emissions,energy efficiency,04/02/2021,04/02/2021,15000000
United States,The Oregon Legislature passed a bill in the 2021 session to allocate an additional $10 million for this program.,solar,29/06/2021,29/06/2021,10000000
United States,Department of Environmental Conservation funding for public transit and EV infrastructure,multiple energy types,16/07/2020,16/07/2020,48800000
United States,Port investments to support offshore wind development,wind,21/07/2020,21/07/2020,200000000
United States,Wind power workforce development and cleantech promotion,wind,09/09/2020,09/09/2020,6000000
United States,Oregon Fund for efficient rebuilding of  structures destroyed during the 2020 Labor Day wildfires,energy efficiency,29/04/2021,29/04/2021,10800000
United States,Oregon Fund for Renewable Energy and Energy Effiency,multiple energy types,26/06/2021,26/06/2021,50000000
United States,Advance Low Carbon Solutions for Multifamily Buildings,energy efficiency,09/07/2021,09/07/2021,7800000
United States,Grow Community Heat Pump Networks Across New York State,other renewable,19/07/2021,19/07/2021,4000000
United States,Community Solar Projects that Support Underserved New Yorkers,solar,20/07/2021,20/07/2021,52500000
United States,Create 600 Energy-Efficient All-Electric Affordable Homes,energy efficiency,13/08/2021,13/08/2021,7500000
United States,Establishing a $24 Million Pilot to Decarbonize Affordable Housing,energy efficiency,30/08/2021,30/08/2021,24000000
United States,$59 Million &#8220;Clean Green Schools&#8221; Initiative To Improve Air Quality And Reduce Carbon Emissions In Pre-K-12 Schools,energy efficiency,23/09/2021,23/09/2021,59000000
United States,Project Awards to Enhance Electric Grid Performance,multiple energy types,28/09/2021,28/09/2021,11000000
United States,Establish the Empire Technology Prize Program and Advance Building Decarbonization in New York State,energy efficiency,15/10/2021,15/10/2021,9500000
United States,$5 Million to Energy Efficient Upgrades for Affordable Housing Units,energy efficiency,10/11/2021,10/11/2021,5000000
United States,$1.3 Million to Support Predevelopment Data Collection in the New York Bight to Facilitate Responsible and Cost-Effective Offshore Wind Development,wind,08/12/2021,08/12/2021,1300000
United States,$30 Million to Incentivize Development of Decarbonized Homes and Neighborhoods,energy efficiency,20/12/2021,20/12/2021,30000000
United States,State Agencies Advance Efforts to Address Environmental Justice and Support Disadvantaged Communities,solar,23/06/2020,23/06/2020,10600000
United States,New York Clean Transportation Prizes Initiative,multiple energy types,22/04/2021,22/04/2021,85000000
United States,$30 Million Available for Drive Clean Rebate Program,multiple energy types,07/05/2021,07/05/2021,30000000
United States,&#8220;$5 Million Awarded to Four Colleges and Universities to Achieve Deep Energy Savings and Help Combat Climate Change &#8220;,energy efficiency,08/06/2021,08/06/2021,5000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,5000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,15000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,15000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,36000000
United States,$100 Million Investment in Clean Transportation Projects,multiple energy types,16/02/2021,16/02/2021,5000000
