Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Indonesia,Economic Recovery Program: Bailout for PT Kereta Api Indonesia (Railway SOE),multiple energy types,11/05/2020,11/05/2020,240018604
Indonesia,Economic Recovery Program: Compensation Payment for PT Pertamina (Oil &#038; Gas SOE),oil and gas,11/05/2020,11/05/2020,2594258221
Indonesia,Economic Recovery Program: Bailout for Garuda Indonesia (Airline SOE),oil and oil products,11/05/2020,11/05/2020,582902323
Indonesia,Economic Recovery Program:Compensation Payment to PLN,multiple fossil,11/05/2020,11/05/2020,3120241846
Indonesia,3 months electricity bill exemption for residential 450 VA customers and 50% discount for residential 900 VA customers,multiple energy types,05/04/2020,05/04/2020,240018604
